order_date;registered_date;user_id;SKU;Quantity
29-Sep-17;29-Sep-17;81076;290917 Luxe;1
29-Sep-17;29-Sep-17;81077;290917;1
30-Sep-17;29-Sep-17;81079;51017;1
2-Oct-17;2-Oct-17;81083;21017;1
2-Oct-17;2-Oct-17;81089;21017;1
2-Oct-17;2-Oct-17;81092;31017;1
2-Oct-17;2-Oct-17;81093;31017;1
2-Oct-17;2-Oct-17;81094;31017;1
2-Oct-17;2-Oct-17;81095;31017;1
2-Oct-17;21-Sep-17;80991;31017;1
2-Oct-17;2-Oct-17;81096;31017;1
2-Oct-17;2-Oct-17;81097;31017;1
2-Oct-17;2-Oct-17;81099;31017;1
2-Oct-17;2-Oct-17;81100;31017;1
3-Oct-17;2-Oct-17;81101;31017;1
3-Oct-17;2-Oct-17;81102;51017;1
3-Oct-17;2-Oct-17;81103;31017;1
3-Oct-17;2-Oct-17;81104;31017;1
3-Oct-17;2-Oct-17;81105;41017;1
3-Oct-17;3-Oct-17;81106;31017;1
3-Oct-17;21-Sep-17;80990;31017;1
3-Oct-17;3-Oct-17;81108;31017;1
3-Oct-17;3-Oct-17;81107;31017;1
3-Oct-17;3-Oct-17;81110;31017;1
3-Oct-17;3-Oct-17;81109;31017;1
3-Oct-17;3-Oct-17;81111;31017;1
3-Oct-17;3-Oct-17;81109;31017;1
3-Oct-17;22-Sep-17;81007;31017;1
3-Oct-17;3-Oct-17;81112;31017;1
3-Oct-17;3-Oct-17;81115;021017 Luxe;1
3-Oct-17;3-Oct-17;81118;41017;1
3-Oct-17;3-Oct-17;81119;41017;1
3-Oct-17;3-Oct-17;81122;41017;1
3-Oct-17;3-Oct-17;81121;41017;1
3-Oct-17;3-Oct-17;81123;41017;1
3-Oct-17;3-Oct-17;81123;41017;1
3-Oct-17;3-Oct-17;81124;41017;1
4-Oct-17;3-Oct-17;81125;41017;1
4-Oct-17;4-Oct-17;81126;41017;1
4-Oct-17;3-Oct-17;81113;41017;1
4-Oct-17;4-Oct-17;81127;191017;1
4-Oct-17;29-Aug-17;80875;51017;2
4-Oct-17;4-Oct-17;81129;91017;1
4-Oct-17;4-Oct-17;81130;51017;1
4-Oct-17;4-Oct-17;81131;51017;1
5-Oct-17;5-Oct-17;81132;51017;1
5-Oct-17;5-Oct-17;81133;51017;1
5-Oct-17;5-Oct-17;81134;51017;1
5-Oct-17;29-Aug-17;80875;51017;1
5-Oct-17;5-Oct-17;81135;51017;1
5-Oct-17;5-Oct-17;81137;51017;1
5-Oct-17;5-Oct-17;81139;61017;1
5-Oct-17;5-Oct-17;81140;61017;1
5-Oct-17;5-Oct-17;81141;61017;1
5-Oct-17;5-Oct-17;81143;61017;1
6-Oct-17;5-Oct-17;81142;61017;1
6-Oct-17;6-Oct-17;81147;61017;1
6-Oct-17;6-Oct-17;81148;61017;1
6-Oct-17;6-Oct-17;81149;61017;1
6-Oct-17;6-Oct-17;81151;061017 Luxe;1
6-Oct-17;6-Oct-17;81150;61017;1
6-Oct-17;6-Oct-17;81152;61017;2
6-Oct-17;6-Oct-17;81153;61017;1
6-Oct-17;6-Oct-17;81154;61017;1
6-Oct-17;6-Oct-17;81155;61017;1
6-Oct-17;6-Oct-17;81156;61017;1
6-Oct-17;6-Oct-17;81157;61017;2
6-Oct-17;6-Oct-17;81158;61017;1
6-Oct-17;6-Oct-17;81159;61017;1
6-Oct-17;6-Oct-17;81161;61017;1
6-Oct-17;6-Oct-17;81160;101017;1
6-Oct-17;6-Oct-17;81162;61017;1
7-Oct-17;7-Oct-17;81164;91017;1
8-Oct-17;8-Oct-17;81166;101017;1
